testing_group,location,worm_code,trial ,tube_diameter_cm,CR_Time ,PR_Time,CE_Time,PE_Time,HI,EX,CR_CE_time,notes
A1,Y,Y13,1,0.67,27,,385,375,,,358,
A1,Y,Y17,1,0.96,27,,105,72,,,78,
A1,Y,Y21,1,0.81,27,,87,62,,,60,
A1,Y,Y26,1,0.73,,27,50,27,,,50,
A1,Y,Y28,1,0.61,27,,172,152,,,145,
A1,Y,Y32,1,0.85,,27,52,27,,,52,
A1,Y,Y33,1,0.44,,,,,,,600,
A1,Y,Y48,1,0.49,27,,,579,,,600,
A1,Y,Y5,1,0.57,,,,,,,600,unlabled on photo
A1,Y,Y53,1,0.47,,,,,,,600,hidden behind y81
A1,Y,Y68,1,0.87,27,,,,,,600,
A1,Y,Y71,1,0.41,27,,,,,,600,
A1,Y,Y76,1,0.63,,,,,HI,,600,
A1,Y,Y8,1,0.78,,27,,27,,,600,
A1,Y,Y9,1,0.91,,,,,,,600,can't identify
A1,Z,Z6,1,0.73,,,,,HI,,600,
A1,Z,Z8,1,0.56,,,,,HI,,600,
A1,Y,Y24,1,0.90,,,,,HI,,600,
A1,X,X29,1,0.28,,,,,,,NA,excluded (diff sp)
A2,X,X18,1,0.73,,,,,,EX,0,
A2,X,X2,1,0.61,37,,67,42,,,30,
A2,X,X24,1,0.34,,,,,HI,,NA,diff sp
A2,X,X26,1,0.34,,27,47,27,,,47,
A2,X,X3,1,0.98,,,,,,,NA,mort
A2,X,X4,1,0.57,,,,,,,NA,diff sp
A2,X,XA1,1,0.34,,,,,,,600,hidden by fan
A2,Y,Y41,1,0.56,27,,62,37,,,35,
A2,Y,Y43,1,0.54,,27,70,27,,,70,
A2,Y,Y59,1,0.47,,,,,,,600,hidden by fan
A2,Y,Y61,1,0.74,,,,,,EX,0,
A2,Y,Y64,1,0.58,27,,57,32,,,30,
A2,Y,Y81,1,0.72,,,,,HI,,600,
A2,Y,Y84,1,0.27,,,,,,,600,unlabled on photo
A2,Y,Y86,1,0.63,,,,,,EX,0,
A2,Z,Z1,1,0.45,27,,350,332,,,323,
A3,X,X15,1,0.72,,,,,,,600,
A3,Y,Y1,1,0.78,,,,,,,600,
A3,Y,Y25,1,0.97,,,,,,,600,
A3,Y,Y36,1,0.24,,,,,,,600,
A3,Y,Y57,1,0.56,,,,,,,600,
A3,Y,Y67,1,0.65,,,,,,,600,
A3,Y,Y72,1,0.33,,,,,,,600,
A3,Y,Y74,1,0.63,,,,,,,600,
A3,Y,Y83,1,0.62,,,,,,,600,
A3,Z,Z2,1,0.66,,,,,,,600,
A3,Z,Z5,1,0.77,,,,,,,600,
B1,Y,Y12,1,0.66,,33,68,43,,,68,
B1,Y,Y19,1,0.85,33,,328,293,,,295,
B1,Y,Y2,1,1.01,,,,,,EX,0,
B1,Y,Y22,1,0.63,33,,623,608,,,590,
B1,Y,Y50,1,0.73,33,,378,233,,,345,
B1,Y,Y52,1,0.85,33,,398,343,,,365,
B1,Y,Y54,1,0.53,33,,88,48,,,55,
B1,Y,Y56,1,0.72,33,,93,48,,,60,
B1,Y,Y62,1,0.65,33,,93,58,,,60,
B1,Y,Y65,1,0.41,,,,,,,600,unable to see
B1,Y,Y7,1,0.61,33,,328,273,,,295,
B1,Y,Y87,1,0.54,33,,538,478,,,505,
B1,Z,Z10,1,1.02,,,,,,,600,unable to see
B1,Z,Z4,1,1.29,33,,298,248,,,265,
B1,Z,Z7,1,1.05,,,,,,EX,0,
B2,X,X10,1,1.17,33,,123,43,,,90,
B2,X,X14,1,0.72,,,,,,EX,0,
B2,X,X19,1,0.32,,33,68,48,,,68,
B2,X,X22,1,0.46,,33,53,48,,,53,
B2,X,X28,1,0.34,,,,,,,600,unable to see
B2,X,X6,1,1.05,33,,143,98,,,110,
B2,X,X9,1,1.19,,33,178,48,,,178,
B2,Y,Y16,1,0.76,33,,173,143,,,140,
B2,Y,Y30,1,0.66,33,,69,38,,,36,
B2,Y,Y34,1,0.81,,33,58,38,,,58,
B2,Y,Y37,1,0.37,33,,98,58,,,65,
B2,Y,Y40,1,0.56,,,,,,,600,unable to see
B2,Y,Y44,1,0.78,33,,118,103,,,85,
B2,Y,Y47,1,0.52,,,,,,EX,0,
B2,Y,Y75,1,0.63,33,,123,38,,,90,
B2,Y,Y79,1,0.73,33,,508,463,,,475,
B2,Y,Y82,1,0.52,,33,68,38,,,68,
B3,X,X21,1,0.52,20,,55,45,,,35,
B3,X,X27,1,0.24,20,,,,,,600,
B3,Y,Y10,1,0.98,20,,45,,,,25,
B3,Y,Y15,1,0.98,20,,440,415,,,420,
B3,Y,Y18,1,0.76,,20,45,,,,45,
B3,Y,Y29,1,0.83,,,,,,EX,0,
B3,Y,Y38,1,0.39,,,,,,EX,0,
B3,Y,Y4,1,0.82,20,,275,195,,,255,
B3,Y,Y49,1,0.58,20,,90,80,,,70,
B3,Y,Y78,1,0.52,,20,,,,,600,
B3,Y,Y85,1,0.63,20,,75,65,,,55,
B3,Z,Z11,1,1.17,,20,280,265,,,280,
D1,Z,Z9,1,0.91,,,,,,,600,not visible
D1,X,X11,1,0.89,,,,,,,600,not visible
D1,X,X16,1,0.73,,,,,,,600,not visible
D1,X,X23,1,0.52,45,,435,400,,,390,
D1,X,X7,1,0.92,45,,75,60,,,30,
D1,Y,Y11,1,0.83,45,,90,65,,,45,
D1,Y,Y27,1,1.00,45,,230,205,,,185,
D1,Y,Y35,1,0.74,45,,370,350,,,325,
D1,Y,Y45,1,0.63,45,,100,60,,,55,
D1,Y,Y51,1,0.74,45,,105,70,,,60,
D1,Y,Y55,1,0.68,,45,65,50,,,65,
D1,Y,Y58,1,0.77,,,,,,,600,not visible
D1,Z,Z3,1,1.27,,,,,,,600,
D2,X,X12,1,0.97,45,,115,65,,,70,
D2,X,X20,1,0.28,45,,115,80,,,70,
D2,X,X25,1,0.45,,45,65,50,,,65,
D2,Y,Y14,1,0.95,45,,90,65,,,45,
D2,Y,Y20,1,0.75,,45,125,70,,,125,
D2,Y,Y3,1,0.81,45,,90,75,,,45,
D2,Y,Y31,1,0.62,45,,225,175,,,180,
D2,Y,Y42,1,0.59,,45,75,,,,75,
D2,Y,Y6,1,0.64,45,,105,75,,,60,
D2,Y,Y63,1,0.66,,45,80,50,,,80,
D2,Y,Y66,1,0.52,45,,110,,,,65,
D2,Y,Y69,1,0.63,,,,,,,600,not visible
D2,Y,Y70,1,0.74,,45,65,50,,,65,
D2,Y,Y73,1,0.55,45,,175,135,,,130,
D2,Y,Y77,1,0.55,45,,305,285,,,260,
D2,Y,Y80,1,0.33,45,,80,65,,,35,
D3,X,X13,1,0.64,16,,251,236,,,235,
D3,X,X17,1,0.41,16,,,,,,600,can't see in trial 1b
D3,X,X5,1,0.72,16,,,31,,,600,
D3,X,X8,1,1.00,16,,115,,,,99,
D3,Y,Y23,1,1.00,16,,106,96,,,90,
D3,Y,Y39,1,0.56,16,,,,,,600,can't see in trial 1b
D3,Y,Y46,1,0.56,16,,181,136,,,165,
D3,Y,Y60,1,0.74,16,,236,136,,,220,
A1,Y,Y13,2,0.67,20,,,35,,,600,
A1,Y,Y17,2,0.96,,20,,,,,600,
A1,Y,Y21,2,0.81,20,,165,90,,,145,
A1,Y,Y26,2,0.73,20,,200,45,,,180,
A1,Y,Y28,2,0.61,,20,,,,,600,
A1,Y,Y32,2,0.85,20,,395,355,,,375,
A1,Y,Y33,2,0.44,20,,270,245,,,250,
A1,Y,Y48,2,0.49,20,,,,,,600,
A1,Y,Y5,2,0.57,20,,415,405,,,395,
A1,Y,Y53,2,0.47,20,,,,,,600,
A1,Y,Y68,2,0.87,20,,475,455,,,455,
A1,Y,Y71,2,0.41,20,,280,250,,,260,
A1,Y,Y76,2,0.63,20,,475,,,,455,
A1,Y,Y8,2,0.78,20,,485,460,,,465,
A1,Y,Y9,2,0.91,,20,90,70,,,90,
A1,Z,Z6,2,0.73,20,,,,,,600,
A1,X,X29,2,0.56,,,,,,,NA,excluded (diff sp)
A2,X,X18,2,0.90,15,,155,20,,,140,
A2,X,X2,2,0.28,15,,80,60,,,65,
A2,X,X24,2,0.73,,,,,,,NA,diff sp
A2,X,X26,2,0.61,15,,365,345,,,350,
A2,X,X3,2,0.34,,,,,,,NA,mort
A2,X,X4,2,0.34,,,,,,,NA,diff sp
A2,X,XA1,2,0.98,15,,75,45,,,60,
A2,Y,Y41,2,0.57,15,,60,45,,,45,
A2,Y,Y43,2,0.34,15,,350,340,,,335,
A2,Y,Y59,2,0.56,15,,50,30,,,35,
A2,Y,Y61,2,0.54,15,,100,75,,,85,
A2,Y,Y64,2,0.47,15,,510,465,,,495,
A2,Y,Y81,2,0.74,15,,,20,,,600,
A2,Y,Y84,2,0.58,,,,,HI,,600,
A2,Y,Y86,2,0.72,15,,345,315,,,330,
A2,Z,Z1,2,0.27,15,,480,455,,,465,
A3,X,X15,2,0.63,,1,195,155,,,195,
A3,Y,Y1,2,0.45,15,,70,35,,,55,
A3,Y,Y25,2,0.72,15,,70,25,,,55,
A3,Y,Y36,2,0.78,15,,,,,,600,
A3,Y,Y57,2,0.97,,15,30,,,,30,
A3,Y,Y67,2,0.24,15,,495,60,,,480,
A3,Y,Y72,2,0.56,15,,430,,,,415,
A3,Y,Y74,2,0.65,,15,85,,,,85,
A3,Y,Y83,2,0.33,15,,30,20,,,15,
A3,Z,Z2,2,0.63,15,,100,45,,,85,
A3,Z,Z5,2,0.62,15,,150,120,,,135,
B1,Y,Y12,2,0.66,1,,8,,,,7,
B1,Y,Y19,2,0.77,,,,,,EX,0,
B1,Y,Y2,2,0.66,,1,6,1,,,6,
B1,Y,Y22,2,0.85,1,,38,34,,,37,
B1,Y,Y50,2,1.01,,,,,,,600,not visible
B1,Y,Y52,2,0.63,1,,5,1,,,4,
B1,Y,Y54,2,0.73,1,,7,3,,,6,
B1,Y,Y56,2,0.85,1,,5,2,,,4,
B1,Y,Y62,2,0.53,1,,14,11,,,13,
B1,Y,Y65,2,0.72,1,,13,10,,,12,
B1,Y,Y7,2,0.65,1,,9,3,,,8,
B1,Y,Y87,2,0.41,1,,35,31,HI,,34,
B1,Z,Z10,2,0.61,,,,,,,600,
B1,Z,Z4,2,0.54,1,,36,33,,,35,
B1,Z,Z7,2,1.02,1,,10,7,,,9,
B2,X,X10,2,1.29,1,,41,38,,,40,
B2,X,X14,2,1.05,1,,9,5,,,8,
B2,X,X19,2,1.17,1,,28,27,,,27,
B2,X,X22,2,0.72,1,,28,27,,,27,
B2,X,X28,2,0.32,,,,,HI,,600,
B2,X,X6,2,0.46,1,,41,39,,,40,
B2,X,X9,2,0.34,1,,31,27,,,30,
B2,Y,Y16,2,1.05,1,,37,35,,,36,
B2,Y,Y30,2,1.19,,,,,HI,,600,
B2,Y,Y34,2,0.76,1,,32,30,,,31,
B2,Y,Y37,2,0.66,1,,16,5,,,15,
B2,Y,Y40,2,0.81,1,,9,5,,,8,
B2,Y,Y44,2,0.37,1,,23,21,,,22,
B2,Y,Y47,2,0.56,1,,7,3,,,6,
B2,Y,Y75,2,0.78,1,,11,6,,,10,
B2,Y,Y79,2,0.52,1,,11,11,,,10,in map as Y79
B2,Y,Y82,2,0.63,1,,28,27,,,27,
B3,X,X21,2,0.73,,,,,,EX,0,
B3,X,X27,2,0.52,0,,27,25,,,27,
B3,Y,Y10,2,0.52,0,,5,1,,,5,
B3,Y,Y15,2,0.24,,0,,,,,600,
B3,Y,Y18,2,0.98,0,,3,2,,,3,
B3,Y,Y29,2,0.98,,,,,,EX,0,
B3,Y,Y38,2,0.76,0,,4,4,,,4,
B3,Y,Y4,2,0.83,0,,20,18,,,20,
B3,Y,Y49,2,0.39,0,,28,27,,,28,
B3,Y,Y78,2,0.82,0,,11,8,,,11,
B3,Y,Y85,2,0.58,0,,12,11,,,12,
B3,Z,Z11,2,0.52,0,,19,15,,,19,
D1,X,X7,2,0.63,1,,30,27,,,29,
D1,X,X11,2,1.17,1,,34,33,,,33,
D1,X,X16,2,0.91,1,,8,1,,,7,
D1,X,X23,2,0.89,1,,6,2,,,5,
D1,Y,Y27,2,0.73,1,,16,15,,,15,
D1,Y,Y35,2,0.52,1,,33,31,,,32,
D1,Y,Y45,2,0.92,1,,8,7,,,7,
D1,Y,Y51,2,0.83,,,,,,EX,0,
D1,Y,Y55,2,1.00,1,,10,6,,,9,
D1,Y,Y58,2,0.74,,,,,,,600,not visible
D1,Z,Z3,2,0.63,,,,,HI,,600,
D1,Z,Z9,2,0.74,1,,4,2,,,3,
D2,X,X12,2,0.68,1,,25,21,,,24,
D2,X,X20,2,0.77,1,,28,18,,,27,
D2,X,X25,2,1.27,1,,36,34,,,35,
D2,Y,Y11,2,0.97,,,,,,,600,not on map
D2,Y,Y14,2,0.28,1,,14,10,,,13,
D2,Y,Y20,2,0.45,1,,34,31,,,33,
D2,Y,Y24,2,0.95,1,,5,2,,,4,
D2,Y,Y3,2,0.75,1,,14,12,,,13,
D2,Y,Y31,2,0.81,1,,39,10,,,38,
D2,Y,Y42,2,0.62,,1,3,1,,,3,
D2,Y,Y6,2,0.59,1,,13,11,,,12,
D2,Y,Y63,2,0.64,1,,6,2,,,5,
D2,Y,Y66,2,0.66,1,,8,3,,,7,
D2,Y,Y69,2,0.52,1,,8,6,,,7,
D2,Y,Y70,2,0.63,1,,11,7,,,10,
D2,Y,Y73,2,0.74,1,,24,21,,,23,
D2,Y,Y77,2,0.55,,1,2,1,,,2,
D2,Y,Y80,2,0.55,,,,,,,600,not visible in video
D2,Z,Z8,2,0.33,,,,,,,600,not on map
D3,X,X13,2,0.64,10,,120,75,,,110,
D3,X,X17,2,0.41,,,,,,EX,0,
D3,X,X5,2,0.72,10,,60,35,,,50,
D3,X,X8,2,1.00,10,,105,75,,,95,
D3,Y,Y23,2,1.00,10,,270,250,,,260,
D3,Y,Y39,2,0.56,10,,440,420,,,430,
D3,Y,Y46,2,0.56,10,,,,,,600,not visible after retraction
D3,Y,Y60,2,0.74,10,,215,170,,,205,
A1,Y,Y13,3,0.67,15,,345,315,,,330,
A1,Y,Y17,3,0.96,,15,125,75,,,125,
A1,Y,Y21,3,0.81,15,,615,455,,,600,
A1,Y,Y26,3,0.73,15,,370,340,,,355,
A1,Y,Y28,3,0.61,,15,40,25,,,40,
A1,Y,Y32,3,0.85,15,,325,290,,,310,
A1,Y,Y33,3,0.44,,,,,HI,,600,
A1,Y,Y48,3,0.49,,15,40,20,,,40,
A1,Y,Y5,3,0.57,,,,,,,600,not on map
A1,Y,Y53,3,0.47,15,,215,145,,,200,
A1,Y,Y68,3,0.87,15,,575,545,,,560,
A1,Y,Y71,3,0.41,15,,65,30,,,50,
A1,Y,Y76,3,0.63,15,,605,520,,,590,in map as Y70
A1,Y,Y8,3,0.78,,15,45,20,,,45,
A1,Y,Y9,3,0.91,15,,545,505,,,530,
A1,Z,Z6,3,0.73,,,,,HI,,600,
A1,X,X29,3,0.56,,,,,,,NA,
A2,X,X18,3,0.90,20,,90,30,,,70,
A2,X,X2,3,0.28,,20,45,25,,,45,
A2,X,X24,3,0.73,,,,,,,NA,
A2,X,X26,3,0.61,,,,,,,600,not on map
A2,X,X3,3,0.34,,,,,,,NA,
A2,X,X4,3,0.34,,,,,,,NA,
A2,X,XA1,3,0.98,,20,45,25,,,45,
A2,Y,Y41,3,0.57,20,,450,235,,,430,
A2,Y,Y43,3,0.34,20,,120,25,,,100,
A2,Y,Y59,3,0.56,20,,90,75,,,70,
A2,Y,Y61,3,0.54,,20,45,25,,,45,
A2,Y,Y64,3,0.47,20,,340,310,,,320,
A2,Y,Y81,3,0.74,20,,120,25,,,100,
A2,Y,Y84,3,0.58,,,,,HI,,600,
A2,Y,Y86,3,0.72,,,,,HI,,600,
A2,Z,Z1,3,0.27,,20,160,130,,,160,
A2,Z,Z8,3,0.63,,,,,HI,,600,
A3,X,X15,3,0.45,20,,180,140,,,160,
A3,Y,Y1,3,0.72,20,,100,50,,,80,
A3,Y,Y25,3,0.78,,20,90,25,,,90,
A3,Y,Y36,3,0.97,20,,560,530,,,540,
A3,Y,Y57,3,0.24,,20,50,25,,,50,
A3,Y,Y67,3,0.56,,20,260,25,,,260,
A3,Y,Y72,3,0.65,20,,130,45,,,110,
A3,Y,Y74,3,0.33,,20,55,25,,,55,
A3,Y,Y83,3,0.63,20,,70,30,,,50,
A3,Z,Z2,3,0.62,20,,250,225,,,230,
A3,Z,Z5,3,0.66,20,,280,250,,,260,
B1,Y,Y12,3,0.77,15,,185,145,,,170,
B1,Y,Y19,3,0.66,15,,45,20,,,30,
B1,Y,Y2,3,0.85,,,,,,EX,0,
B1,Y,Y22,3,1.01,15,,235,115,,,220,
B1,Y,Y50,3,0.63,15,,550,520,,,535,
B1,Y,Y52,3,0.73,15,,550,520,,,535,
B1,Y,Y54,3,0.85,15,,195,140,,,180,
B1,Y,Y56,3,0.53,15,,70,50,,,55,
B1,Y,Y62,3,0.72,15,,60,45,,,45,
B1,Y,Y65,3,0.65,15,,65,30,,,50,
B1,Y,Y7,3,0.41,15,,340,255,,,325,
B1,Y,Y87,3,0.61,15,,480,460,,,465,
B1,Z,Z10,3,0.54,,,,,HI,,600,
B1,Z,Z4,3,1.02,15,,355,175,,,340,
B1,Z,Z7,3,1.29,15,,260,230,,,245,
B2,X,X10,3,1.05,,,,,HI,,600,
B2,X,X14,3,1.17,15,,150,95,,,135,
B2,X,X19,3,0.72,15,,160,75,,,145,
B2,X,X22,3,0.32,15,,345,310,,,330,
B2,X,X28,3,0.46,,,,,HI,,600,
B2,X,X6,3,0.34,,,,,,,600,not visible in video
B2,X,X9,3,1.05,15,,205,40,,,190,
B2,Y,Y16,3,1.19,,,,,,,600,
B2,Y,Y30,3,0.76,,,,,,,600,
B2,Y,Y34,3,0.66,,,,,,,600,
B2,Y,Y37,3,0.81,,,,,,,600,
B2,Y,Y40,3,0.37,,,,,,,600,
B2,Y,Y44,3,0.56,,,,,,,600,
B2,Y,Y47,3,0.78,,,,,,,600,
B2,Y,Y75,3,0.52,,,,,,,600,
B2,Y,Y79,3,0.63,,,,,,,600,
B2,Y,Y82,3,0.73,,,,,,,600,
B3,X,X21,3,0.52,10,,80,45,,,70,
B3,X,X27,3,0.52,10,,110,105,,,100,
B3,Y,Y10,3,0.24,,10,35,15,,,35,
B3,Y,Y15,3,0.98,,10,130,15,,,130,
B3,Y,Y18,3,0.98,10,,230,190,,,220,
B3,Y,Y29,3,0.76,10,,245,200,,,235,
B3,Y,Y38,3,0.83,10,,210,190,,,200,
B3,Y,Y4,3,0.39,,,,,HI,,600,
B3,Y,Y49,3,0.82,10,,230,200,,,220,
B3,Y,Y78,3,0.58,10,,105,240,,,95,
B3,Y,Y85,3,0.52,10,,155,110,,,145,
B3,Z,Z11,3,0.63,,,,,HI,,600,
D1,X,X7,3,1.17,15,,55,20,,,40,
D1,X,X11,3,0.91,15,,330,310,,,315,
D1,X,X16,3,0.89,15,,125,20,,,110,
D1,X,X23,3,0.73,15,,90,65,,,75,
D1,Y,Y27,3,0.52,15,,75,20,,,60,
D1,Y,Y35,3,0.92,15,,180,155,,,165,
D1,Y,Y45,3,0.83,15,,90,70,,,75,
D1,Y,Y51,3,1.00,15,,380,365,,,365,
D1,Y,Y55,3,0.74,,15,350,35,,,350,
D1,Y,Y58,3,0.63,15,,60,45,,,45,
D1,Z,Z3,3,0.74,15,,345,315,,,330,
D1,Z,Z9,3,0.68,,,,,HI,,600,
D2,X,X12,3,0.77,25,,200,170,,,175,
D2,X,X20,3,1.27,,,,,,,0,not on map
D2,X,X25,3,0.97,15,,75,65,,,60,
D2,Y,Y11,3,0.28,15,,90,70,,,75,
D2,Y,Y14,3,0.45,15,,120,70,,,105,
D2,Y,Y20,3,0.95,15,,80,50,,,65,
D2,Y,Y24,3,0.75,15,,80,70,,,65,
D2,Y,Y3,3,0.81,15,,80,40,,,65,
D2,Y,Y31,3,0.62,15,,405,330,,,390,
D2,Y,Y42,3,0.59,15,,60,40,,,45,
D2,Y,Y6,3,0.64,15,,160,120,,,145,
D2,Y,Y63,3,0.66,15,,340,290,,,325,
D2,Y,Y66,3,0.52,,,,,,,0,not visible in video
D2,Y,Y69,3,0.63,15,,110,85,,,95,
D2,Y,Y70,3,0.74,,15,80,140,,,80,
D2,Y,Y73,3,0.55,15,,160,110,,,145,
D2,Y,Y77,3,0.55,15,,175,40,,,160,
D2,Y,Y80,3,0.33,15,,50,30,,,35,
D3,X,X13,3,0.64,15,,80,40,,,65,
D3,X,X17,3,0.41,,,,,,,600,not visible in video
D3,X,X5,3,0.72,15,,50,30,,,35,
D3,X,X8,3,1.00,,,,,HI,,600,
D3,Y,Y23,3,1.00,15,,265,245,,,250,
D3,Y,Y39,3,0.56,15,,145,75,,,130,
D3,Y,Y46,3,0.56,15,,235,205,,,220,
D3,Y,Y60,3,0.74,15,,195,115,,,180,
A1,Y,Y13,4,0.67,30,,455,440,,,425,
A1,Y,Y17,4,0.96,,30,140,,,,140,
A1,Y,Y21,4,0.81,,30,40,,,,40,
A1,Y,Y26,4,0.73,,30,80,,,,80,
A1,Y,Y28,4,0.61,30,,85,55,,,55,
A1,Y,Y32,4,0.85,30,,195,175,,,165,
A1,Y,Y33,4,0.44,30,,440,425,,,410,
A1,Y,Y48,4,0.49,30,,515,500,,,485,
A1,Y,Y5,4,0.57,30,,315,250,,,285,
A1,Y,Y53,4,0.47,,,,,HI,,0,
A1,Y,Y68,4,0.87,,,,,HI,,0,
A1,Y,Y71,4,0.41,30,,70,35,,,40,
A1,Y,Y76,4,0.63,30,,,320,,,600,
A1,Y,Y8,4,0.78,30,,400,380,,,370,
A1,Y,Y9,4,0.91,30,,80,35,,,50,
A1,Z,Z6,4,0.73,30,,455,430,,,425,
A1,X,X29,4,0.56,,,,,,,0,
A2,X,X18,4,0.90,,10,50,15,,,50,
A2,X,X2,4,0.28,10,,110,95,,,100,
A2,X,X24,4,0.73,,,,,,,0,
A2,X,X26,4,0.61,,,,,HI,,0,
A2,X,X3,4,0.34,,,,,,,0,
A2,X,X4,4,0.34,,,,,,,0,
A2,X,XA1,4,0.98,,10,60,30,,,60,
A2,Y,Y41,4,0.57,10,,230,200,,,220,
A2,Y,Y43,4,0.34,,10,45,15,,,45,
A2,Y,Y59,4,0.56,,10,35,15,,,35,
A2,Y,Y61,4,0.54,,10,40,15,,,40,
A2,Y,Y64,4,0.47,,10,45,15,,,45,
A2,Y,Y81,4,0.74,,,,,,EX,0,
A2,Y,Y84,4,0.58,10,,575,560,,,565,
A2,Y,Y86,4,0.72,10,,500,450,,,490,
A2,Z,Z1,4,0.27,10,,75,60,,,65,
A2,Z,Z8,4,0.63,10,,170,120,,,160,
A3,X,X15,4,0.45,20,,260,230,,,240,
A3,Y,Y1,4,0.72,20,,330,300,,,310,
A3,Y,Y25,4,0.78,20,,100,30,,,80,
A3,Y,Y36,4,0.97,20,,100,85,,,80,
A3,Y,Y57,4,0.24,20,,120,70,,,100,
A3,Y,Y67,4,0.56,20,,75,45,,,55,
A3,Y,Y72,4,0.65,20,,60,,,,40,
A3,Y,Y74,4,0.33,20,,140,50,,,120,
A3,Y,Y83,4,0.63,20,,50,25,,,30,
A3,Z,Z2,4,0.62,20,,50,25,,,30,
A3,Z,Z5,4,0.66,20,,205,170,,,185,
B1,Y,Y12,4,0.77,15,,90,65,,,75,
B1,Y,Y19,4,0.66,15,,95,40,,,80,
B1,Y,Y2,4,0.85,15,,40,20,,,25,
B1,Y,Y22,4,1.01,15,,625,605,,,610,
B1,Y,Y50,4,0.63,15,,,,,,600,not visible
B1,Y,Y52,4,0.73,15,,310,295,,,295,
B1,Y,Y54,4,0.85,15,,120,105,,,105,
B1,Y,Y56,4,0.53,15,,75,25,,,60,
B1,Y,Y62,4,0.72,15,,200,175,,,185,
B1,Y,Y65,4,0.65,15,,90,55,,,75,
B1,Y,Y7,4,0.41,15,,80,65,,,65,
B1,Y,Y87,4,0.61,15,,490,475,,,475,
B1,Z,Z10,4,0.54,15,,,,,,,not visible
B1,Z,Z4,4,1.02,15,,160,135,,,145,
B1,Z,Z7,4,1.29,15,,65,20,,,50,
B2,X,X10,4,1.05,,,,,,,0,not visibvle in video
B2,X,X14,4,1.17,10,,115,40,,,105,
B2,X,X19,4,0.72,10,,50,30,,,40,
B2,X,X22,4,0.32,10,,175,145,,,165,
B2,X,X28,4,0.46,,,,,HI,,0,
B2,X,X6,4,0.34,10,,,,,,600,not visible in video
B2,X,X9,4,1.05,10,,280,210,,,270,
B2,Y,Y16,4,1.19,10,,110,80,,,100,
B2,Y,Y30,4,0.76,10,,210,20,,,200,
B2,Y,Y34,4,0.66,10,,360,330,,,350,
B2,Y,Y37,4,0.81,,,,,,,0,not visible in video
B2,Y,Y40,4,0.37,10,,470,440,,,460,
B2,Y,Y44,4,0.56,10,,115,80,,,105,
B2,Y,Y47,4,0.78,10,,60,30,,,50,
B2,Y,Y75,4,0.52,10,,130,70,,,120,
B2,Y,Y79,4,0.63,10,,310,280,,,300,
B2,Y,Y82,4,0.73,10,,340,300,,,330,
B3,Y,X21,4,0.52,10,,95,75,,,85,
B3,Y,X27,4,0.52,10,,45,20,,,35,
B3,Y,Y10,4,0.24,10,,225,140,,,215,
B3,Y,Y15,4,0.98,,,,,HI,,0,
B3,Y,Y18,4,0.98,10,,420,410,,,410,
B3,Y,Y29,4,0.76,10,,85,50,,,75,
B3,Y,Y38,4,0.83,10,,205,145,,,195,
B3,Y,Y4,4,0.39,10,,290,275,,,280,
B3,Y,Y49,4,0.82,10,,190,160,,,180,
B3,Y,Y78,4,0.58,10,,435,395,,,425,
B3,Y,Y85,4,0.52,10,,200,110,,,190,
B3,Z,Z11,4,0.63,10,,275,225,,,265,
D1,X,X7,4,1.17,20,,285,250,,,265,
D1,X,X11,4,0.91,20,,540,525,,,520,
D1,X,X16,4,0.89,20,,100,65,,,80,
D1,X,X23,4,0.73,20,,120,105,,,100,
D1,Y,Y27,4,0.52,20,,55,30,,,35,
D1,Y,Y35,4,0.92,20,,195,170,,,175,
D1,Y,Y45,4,0.83,20,,135,120,,,115,
D1,Y,Y51,4,1.00,20,,350,330,,,330,
D1,Y,Y55,4,0.74,20,,195,170,,,175,
D1,Y,Y58,4,0.63,20,,60,50,,,40,
D1,Z,Z3,4,0.74,20,,310,280,,,290,
D1,Z,Z9,4,0.68,20,,65,45,,,45,
D2,X,X12,4,0.77,15,,110,75,,,95,
D2,X,X20,4,1.27,15,,585,540,,,570,
D2,X,X25,4,0.97,15,,235,215,,,220,
D2,Y,Y11,4,0.28,15,,75,40,,,60,
D2,Y,Y14,4,0.45,15,,120,60,,,105,
D2,Y,Y20,4,0.95,,15,75,20,,,75,
D2,Y,Y24,4,0.75,,,,,,EX,0,
D2,Y,Y3,4,0.81,15,,105,60,,,90,
D2,Y,Y31,4,0.62,15,,180,120,,,165,
D2,Y,Y42,4,0.59,,15,25,20,,,25,
D2,Y,Y6,4,0.64,15,,165,125,,,150,
D2,Y,Y63,4,0.66,15,,95,35,,,80,
D2,Y,Y66,4,0.52,15,,255,175,,,240,
D2,Y,Y69,4,0.63,15,,135,115,,,120,
D2,Y,Y70,4,0.74,,,,,,EX,0,
D2,Y,Y73,4,0.55,15,,390,355,,,375,
D2,Y,Y77,4,0.55,15,,75,35,,,60,
D2,Y,Y80,4,0.33,15,,95,65,,,80,
D3,X,X13,4,0.64,,,,,HI,,600,
D3,X,X17,4,0.41,,,,,,,0,not visible
D3,X,X5,4,0.72,10,,85,50,,,75,
D3,X,X8,4,1.00,,,,,HI,,600,
D3,Y,Y23,4,1.00,10,,75,50,,,65,
D3,Y,Y39,4,0.56,10,,70,45,,,60,
D3,Y,Y46,4,0.56,10,,110,50,,,100,
D3,Y,Y60,4,0.74,10,,195,175,,,185,